,Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total
30,5024-1,2014-09-02,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Consumer,Tina Carlton,Low,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Express Air,2014-09-04,4.79,11.97,7.18,41,242.08,0.05,14.24,230.51,5.81,233.95
31,5024-1,2014-02-25,Bebby Elias,"506 Swan Street,Richmond",Melbourne,VIC,Consumer,Connor Betts,High,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Small Box,Regular Air,2014-02-26,21.56,36.55,14.99,22,85.28,0.1,6.82,78.46,13.89,79.44
32,5024-1,2013-02-18,Sean Wendt,"155 Ramsay St,Haberfield",Sydney,NSW,Corporate,Phoebe Gour,Critical,Multimedia Mailers,Office Supplies,Small Box,Express Air,2013-02-20,99.39,162.93,63.54,47,5213.76,0.09,469.24,4744.52,19.99,4764.51
33,5024-1,2013-02-18,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Consumer,Phoebe Gour,High,Multimedia Mailers,Office Supplies,Small Box,Express Air,2013-02-20,99.39,162.93,63.54,50,5213.76,0.07,469.24,4744.52,19.99,4764.51
34,5024-1,2015-02-18,Sandra Glassco,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Critical,Artisan Binder Labels,Technology,Medium Box,Regular Air,2015-02-21,2.45,3.89,1.44,8,66.36,0.09,3.96,62.38,7.01,69.36
35,5025-1,2015-06-08,Jack OBriant,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2015-06-09,1.09,1.68,0.59,1,55.44,0.0,2.22,53.22,1.0,54.22
36,5025-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2013-02-22,1.09,1.68,0.59,34,55.44,0.1,2.22,53.22,1.0,54.22
37,5025-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2013-02-22,1.09,1.68,0.59,18,55.44,0.08,2.22,53.22,1.0,54.22
38,5025-1,2015-07-23,Magdelene Morse,"53 Riley Street,Woolloomooloo",Sydney,NSW,Corporate,Tina Carlton,Not Specified,TechSavi Cordless Elite Duo,Office Supplies,Small Box,Regular Air,2015-07-30,60.59,100.98,40.39,14,4533.86,0.1,66.8,4343.52,7.18,4371.54
39,5025-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,High,Pizazz Dustless Chalk Sticks,Office Supplies,Wrap Bag,Regular Air,2013-02-22,1.09,1.68,0.59,29,55.44,0.03,2.22,53.22,1.0,54.22
40,5025-1,2013-02-20,Giulietta Dortch,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Critical,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Express Air,2013-02-22,1.09,1.68,0.59,39,55.44,0.07,2.22,53.22,1.0,54.22
41,5025-1,2013-08-17,Valerie Dominguez,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,Tina Carlton,High,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,2013-08-17,8.82,20.99,12.17,16,49.36,0.02,3.96,48.66,4.81,44.56
42,5025-1,2013-10-03,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Critical,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,2013-10-04,4.59,7.28,2.69,19,533.72,0.04,36.53,428.51,11.15,330.99
43,5025-1,2014-09-12,Gary Hansen,"273 George Street,Sydney",Sydney,NSW,Consumer,Leighton Forrest,Low,UGen Ultra Professional Cordless Optical Suite,Technology,Jumbo Drum,Delivery Truck,2014-09-19,156.5,300.97,144.47,4,4759.68,0.06,39.3,4733.52,7.18,4740.51
44,5025-1,2014-07-30,Denny Joy,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Not Specified,Smiths General Use 3-Ring Binders,Technology,Small Box,Regular Air,2014-08-01,1.18,1.88,0.7,39,35.7,0.09,3.51,34.53,1.49,35.33
45,5026-1,2013-05-21,Kelly Lampkin,"310 Wattle St,Ultimo",Sydney,NSW,Corporate,Aanya Zhang,Medium,Binder Clips by OIC,Technology,Small Pack,Regular Air,2013-05-23,0.93,1.48,0.55,16,25.06,0.0,2.56,22.6,0.7,24.29
46,5026-1,2013-05-31,Raymond Fair,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,High,Artisan 479 Labels,Office Supplies,Wrap Bag,Express Air,2013-06-02,1.59,2.61,1.02,41,23.29,0.05,1.61,22.29,0.5,22.69
47,5027-1,2013-07-29,Nick Zandusky,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Low,Artisan Binder Labels,Technology,Small Box,Regular Air,2013-07-30,2.45,3.89,1.44,29,542.12,0.04,41.26,425.7,7.01,430.59
48,5027-1,2014-01-13,Ashley Jarboe,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,High,Artisan 479 Labels,Office Supplies,Small Box,Regular Air,2014-01-18,1.59,2.61,1.02,45,127.29,0.06,12.72,122.76,0.5,123.17
49,5027-1,2013-10-25,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Consumer,Leighton Forrest,Medium,Apex Straight Scissors,Technology,Large Box,Regular Air,2013-10-27,5.19,12.98,7.79,10,530.6,0.01,43.56,514.48,3.14,523.02
50,5027-1,2013-10-13,Sylvia Foulston,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Small Business,Tina Carlton,High,Emerson Stylus 1520 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,2013-10-13,75.0,120.97,45.97,31,929.96,0.06,76.8,825.36,26.3,744.63
51,5027-1,2016-01-19,Tamara Willingham,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,TechSavi Access Keyboard,Office Supplies,Small Pack,Regular Air,2016-01-19,10.07,15.98,5.91,4,799.42,0.02,59.92,770.46,4.0,784.64
52,5027-1,2013-07-22,Edward Becker,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Pack,Regular Air,2013-07-26,156.5,300.97,144.47,9,5799.5,0.07,264.99,5579.53,7.18,5550.43
53,5027-1,2013-02-22,Bill Donatelli,"359 Crown Street,Surry Hills",Sydney,NSW,Home Office,Phoebe Gour,Low,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Small Box,Regular Air,2013-02-28,21.56,35.94,14.38,11,723.84,0.01,50.67,673.17,6.66,693.16
54,5028-1,2015-06-19,Fredhen Memon,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Corporate,Mihael Khan,Medium,Artisan Hi-Liter Smear-Safe Highlighters,Technology,Small Box,Regular Air,2015-06-21,2.98,5.84,2.86,7,34.46,0.01,2.24,30.66,0.83,34.43
55,5028-1,2013-10-09,Frank Merwin,"260 Marrickville Rd,Marrickville",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Artisan 474 Labels,Furniture,Large Box,Regular Air,2013-10-11,1.84,2.88,1.04,17,26.62,0.0,0.17,26.53,0.99,26.46
56,5029-1,2013-02-23,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,NSW,Home Office,Natasha Song,Medium,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Pack,Regular Air,2013-02-23,5.33,8.6,3.27,22,412.8,0.07,0.0,412.8,6.19,418.99
57,5029-1,2014-06-02,Arthur Gainer,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,High,Artisan 479 Labels,Technology,Medium Box,Regular Air,2014-06-04,1.59,2.61,1.02,7,209.9,0.03,0.0,209.9,0.5,214.77
58,5029-1,2013-02-23,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,NSW,Corporate,Natasha Song,High,Artisan Printable Repositionable Plastic Tabs,Technology,Jumbo Drum,Delivery Truck,2013-02-23,5.33,8.6,3.27,13,412.8,0.04,0.0,412.8,6.19,418.99
59,5029-1,2015-11-12,Michael Oakman,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Not Specified,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Regular Air,2015-11-14,54.29,90.48,36.19,40,4564.22,0.1,377.64,4113.59,19.99,4193.93
60,5029-1,2013-05-20,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Corporate,Mihael Khan,Low,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,2013-05-22,5.33,8.6,3.27,19,412.8,0.1,0.0,412.8,6.19,418.99
61,5032-1,2013-11-18,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Critical,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Small Box,Regular Air,2013-11-20,16.85,27.18,10.33,32,632.36,0.06,68.76,663.38,8.23,690.33
62,5032-1,2013-12-16,Henry Goldwyn,"541 Church St,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013-12-19,1.84,2.88,1.04,22,127.92,0.01,10.16,122.66,0.99,123.06
63,5033-1,2013-02-25,Katherine Ducich,"61A Bay Road,Wollstonecraft",Sydney,NSW,Small Business,Samantha Chairs,High,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,Regular Air,2013-02-27,54.29,90.48,36.19,42,271.44,0.05,8.14,263.3,19.99,283.29
64,5034-1,2013-06-05,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013-06-05,1.84,2.88,1.04,32,201.9,0.05,8.0,193.54,0.99,199.04
65,5034-1,2015-08-10,Nora Price,"7 Khartoum Rd,Macquarie Park",Sydney,NSW,Small Business,Preston Senome,Medium,Ames Color-File Green Diamond Border X-ray Mailers,Technology,Small Box,Express Air,2015-08-13,52.07,83.98,31.91,22,2752.32,0.07,188.46,2668.3,5.01,2692.15
66,5034-1,2014-09-23,Grant Thornton,"98 Holdsworth Street,Woollahra",Sydney,NSW,Small Business,Natasha Song,Critical,Artisan 474 Labels,Technology,Small Box,Regular Air,2014-09-25,1.84,2.88,1.04,45,68.96,0.08,0.6,68.96,0.99,73.46
67,5034-1,2013-05-09,Thea Hudgings,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Medium,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,2013-05-11,3.32,5.18,1.86,37,91.06,0.01,7.3,88.96,2.04,80.44
68,5034-1,2013-05-13,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Home Office,Connor Betts,High,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,2013-05-15,3.32,5.18,1.86,35,76.0,0.03,6.8,59.66,2.04,70.46
69,5034-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,High,Apex Straight Scissors,Office Supplies,Wrap Bag,Regular Air,2013-02-22,5.19,12.98,7.79,16,225.32,0.1,2.24,221.2,3.14,233.76
70,5035-1,2013-04-30,Pamela Stobb,"273 George Street,Sydney",Sydney,NSW,Consumer,Leighton Forrest,Low,HFX LaserJet 3310 Copier,Technology,Small Box,Regular Air,2013-05-02,377.99,599.99,222.0,35,2065.8,0.05,54.07,2759.75,24.49,2761.25
71,5036-1,2013-03-07,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,Office Supplies,Small Box,Express Air,2013-03-10,0.71,1.14,0.43,14,57.0,0.02,3.42,53.58,0.7,54.28
72,5036-1,2013-03-07,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,Furniture,Large Box,Express Air,2013-03-10,0.71,1.14,0.43,14,57.0,0.0,3.42,53.58,0.7,54.28
73,5037-1,2013-03-11,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Consumer,Stevie Bacata,High,Apex Elite Stainless Steel Scissors,Furniture,Small Pack,Regular Air,2013-03-13,3.42,8.34,4.92,32,133.44,0.08,4.0,129.44,2.64,132.08
74,5037-1,2013-06-29,Adam Bellavance,"106 Ebley Street,Bondi Junction",Sydney,NSW,Home Office,Leighton Forrest,Not Specified,Apex Elite Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,2013-07-01,3.42,8.34,4.92,11,133.44,0.07,4.0,129.44,2.64,132.08
75,5037-1,2013-07-04,Sara Luxemburg,"103 Bins Street,Nindsor",Sydney,NSW,Home Office,Charlie Bui,Critical,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Regular Air,2013-07-05,4.79,11.97,7.18,10,245.7,0.1,27.26,222.1,5.81,243.29
76,5037-1,2013-03-11,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Small Business,Stevie Bacata,High,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Express Air,2013-03-13,2.5,5.68,3.18,50,133.44,0.09,4.0,129.44,3.6,132.08
77,5038-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,Smiths Standard Envelopes,Technology,Small Box,Regular Air,2013-03-20,3.52,5.68,2.16,34,139.24,0.02,9.68,128.54,1.39,129.4
78,5039-1,2013-03-15,Michael Grace,"402 Argyle St,Moss Vale",Sydney,NSW,Small Business,Natasha Song,Low,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Express Air,2013-03-16,4.59,7.28,2.69,37,160.16,0.04,1.6,158.56,11.15,169.71
79,5039-1,2013-05-31,Rick Duston,"144 Biutee Rd,Marrickville",Sydney,NSW,Consumer,Charlie Bui,High,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013-05-31,1.84,2.88,1.04,42,130.66,0.0,10.56,121.02,0.99,122.85
80,5039-1,2014-08-07,John Lucas,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Critical,"Alto Parchment Paper, Assorted Colors",Furniture,Large Box,Regular Air,2014-08-09,4.59,7.28,2.69,44,186.52,0.08,1.68,168.06,11.15,169.71
81,5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,"Steady Colorific Colored Pencils, 12/Box",Technology,Large Box,Regular Air,2013-03-20,1.3,2.88,1.58,46,138.24,0.07,9.68,128.56,1.01,129.57
82,5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Critical,"Steady Colorific Colored Pencils, 12/Box",Technology,Small Box,Express Air,2013-03-20,1.3,2.88,1.58,8,138.24,0.05,9.68,128.56,1.01,129.57
83,5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,"Steady Colorific Colored Pencils, 12/Box",Office Supplies,Small Box,Regular Air,2013-03-20,1.3,2.88,1.58,22,138.24,0.02,9.68,128.56,1.01,129.57
84,5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,"Steady Colorific Colored Pencils, 12/Box",Technology,Small Pack,Express Air,2013-03-20,1.3,2.88,1.58,32,138.24,0.08,9.68,128.56,1.01,129.57
85,5041-1,2015-10-20,Eva Jacobs,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Small Business,Nicholas Fernandes,Medium,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Small Box,Regular Air,2015-10-24,2.98,5.84,2.86,48,7.2,0.08,0.63,7.64,0.83,10.71
86,5042-1,2013-04-30,Pamela Stobb,"273 George Street,Sydney",Sydney,NSW,Small Business,Leighton Forrest,Not Specified,Apex Straight Scissors,Office Supplies,Small Pack,Express Air,2013-05-02,5.19,12.98,7.79,49,623.22,0.04,56.09,567.13,3.14,571.13
87,5042-1,2013-06-25,Karl Brown,"470 Anzac Parade,Kingsford",Sydney,NSW,Home Office,Tina Carlton,High,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,2013-05-26,3.32,5.18,1.86,30,130.42,0.09,3.01,128.43,2.04,129.03
88,5042-1,2013-03-23,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,Nicholas Fernandes,High,Assorted Color Push Pins,Office Supplies,Small Box,Regular Air,2013-03-26,0.87,1.81,0.94,30,61.1,0.03,2.34,58.66,0.75,61.51
89,5043-1,2015-04-18,Philip Brown,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Artisan 487 Labels,Furniture,Small Pack,Express Air,2015-04-19,2.29,3.69,1.4,7,144.5,0.01,14.87,147.65,0.5,158.36
90,5046-1,2015-01-11,Katherine Nockton,"Crown Complex,Southbank",Melbourne,VIC,Consumer,Connor Betts,Critical,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Office Supplies,Small Box,Regular Air,2015-01-12,3.88,6.47,2.59,34,113.68,0.03,7.95,110.05,1.22,119.55
91,5047-1,2015-04-19,Thais Sissman,"53-55 Liverpool St,Sydney",Sydney,NSW,Small Business,Tina Carlton,High,Artisan Poly Binder Pockets,Technology,Small Pack,Regular Air,2015-04-19,2.26,3.58,1.32,11,131.14,0.02,6.33,112.43,5.47,119.43
92,5047-1,2015-05-01,Chad McGuire,"81 MacLeay St,Potts Point",Sydney,NSW,Home Office,Samantha Chairs,Low,Artisan Premier Heavy-Duty Binder with Round Locking Rings,Office Supplies,Small Box,Regular Air,2015-05-02,8.71,14.28,5.57,32,335.35,0.1,33.53,303.24,2.99,321.03
